time,category,command,variant,tx,rx,latency,status,match,meaning,validationMode,transportStatus,note
2026-02-26T13:49:23.533Z,Request device status,0xC001,Idle,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 01 C0 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 00 00 56,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 02 C0 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5A,2,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:23.692Z,Request device status,0xC001,Busy,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 01 C0 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 00 00 56,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 02 C0 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5A,4,PASS,ACK_SUCCESS,Success,STRICT_EXACT,REPLY,
2026-02-26T13:49:23.845Z,Request device status,0xC001,Device Exception,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 01 C0 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 00 00 56,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 02 C0 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5A,2,PASS,ACK_SUCCESS,Success,STRICT_EXACT,REPLY,
2026-02-26T13:49:24.088Z,Set volume level,0xC203,volume=0,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 00 5B,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,89,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:24.500Z,Set volume level,0xC203,volume=1,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 01 5C,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,100,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:24.886Z,Set volume level,0xC203,volume=2,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 02 5D,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,83,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:25.223Z,Set volume level,0xC203,volume=3,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 03 5E,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,29,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:25.608Z,Set volume level,0xC203,volume=4,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 04 5F,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,71,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:25.993Z,Set volume level,0xC203,volume=5,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 05 60,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,71,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:26.370Z,Set volume level,0xC203,volume=6,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 06 61,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,76,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:26.736Z,Set volume level,0xC203,volume=7,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 07 62,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,58,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:27.118Z,Set volume level,0xC203,volume=8,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 08 63,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,70,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:27.514Z,Set volume level,0xC203,volume=9,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 09 64,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,80,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:27.882Z,Set volume level,0xC203,volume=10,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 0A 65,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,62,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
2026-02-26T13:49:28.266Z,Set volume level,0xC203,volume=11,55 55 55 55 55 55 55 C0 01 03 01 D0 00 D1 03 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 0B 66,55 55 55 55 55 55 55 C0 01 03 00 D1 01 D0 04 C2 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 02 00 01 00 5E,72,PASS,EXACT,Reply matches expected template,STRICT_EXACT,REPLY,
